id,x,y,class
114,4.0420165,-50.8775,0
115,2.5645642,-26.448334,0
116,-7.8698316,-46.796288,0
117,15.4212475,-47.03896,0
118,2.151989,-49.396946,0
119,15.253758,-49.942955,0
120,-1.3559834,-43.99436,0
121,16.661572,-45.9412,0
122,13.421314,-28.49596,0
123,2.6165156,-49.401016,0
124,18.154316,-37.096127,0
125,-4.4746876,-47.637985,0
126,14.589965,-49.66054,0
127,5.5581822,-28.290953,0
128,-7.1239986,-50.940044,0
129,-8.381788,-43.36729,0
130,12.613339,-35.653786,0
131,2.0474217,-43.836548,0
132,-0.124366604,-25.504995,0
133,0.5612209,-42.20515,0
134,19.019743,-33.93504,0
135,-5.3896813,-32.854286,0
136,-3.9454787,-35.011494,0
137,4.8785048,-44.053364,0
138,-1.7031093,-53.21383,0
139,0.06850684,-43.15609,0
140,19.761263,-37.381264,0
141,-3.2112222,-47.882664,0
142,15.881148,-47.583656,0
143,16.520031,-41.36545,0
144,-7.677381,-48.838833,0
145,11.971751,-33.246742,0
146,11.926834,-35.272034,0
147,-8.45825,-45.36371,0
148,14.952709,-31.86181,0
149,14.725562,-30.710243,0
150,15.42117,-35.118233,0
151,-7.019527,-41.327545,0
152,18.979248,-30.149067,0
153,13.942939,-40.525303,0
154,2.40978,-28.932344,0
155,12.162368,-46.795788,0
156,-6.26913,-52.181473,0
157,7.3876133,-44.00154,0
158,15.294279,-30.083836,0
159,15.357007,-26.001337,0
160,16.217575,-39.731964,0
161,17.210007,-45.159744,0
162,-3.875962,-32.339676,0
163,15.035105,-48.683334,0
164,20.736036,-33.735184,0
165,-4.652457,-47.060356,0
166,0.2710067,-28.904625,0
167,4.7204757,-42.48062,0
168,-4.016475,-37.67157,0
169,2.4326465,-43.754807,0
170,16.35227,-47.616795,0
171,0.46149334,-28.845507,0
172,-3.7862246,-53.56528,0
173,12.603383,-39.53573,0
174,1.7746793,-28.61771,0
175,-6.93342,-31.570847,0
176,0.45467204,-45.611336,0
177,-5.275991,-30.733437,0
178,0.04520336,-41.70434,0
179,4.478301,-33.805004,0
180,8.572035,-49.139297,0
181,4.631477,-35.299545,0
182,18.834301,-33.595737,0
183,2.7315607,-50.107033,0
184,-3.534536,-51.81848,0
185,-5.3254085,-47.005444,0
186,-1.8135314,-34.14307,0
187,7.0709333,-48.419025,0
188,-0.6683745,-32.200264,0
189,-5.2706757,-39.982956,0
190,-8.02158,-46.897083,0
191,-7.3362274,-50.140877,0
192,-6.7386775,-50.558582,0
193,1.6680274,-26.427475,0
194,0.6106018,-39.680767,0
195,6.07646,-48.856476,0
196,11.19966,-40.88641,0
197,18.65144,-38.25864,0
198,3.9523382,-35.390396,0
199,-3.3483472,-51.227673,0
200,-6.096165,-31.67364,0
201,6.5399375,-25.717129,0
202,10.44492,-42.111954,0
203,4.4301353,-33.98441,0
204,-0.33768415,-44.945465,0
205,-6.979287,-40.84503,0
206,0.02710215,-41.323013,0
207,-7.1747437,-43.468945,0
208,18.89715,-30.547491,0
209,-1.2199878,-43.793865,0
210,0.82462054,-24.911127,0
211,14.424966,-25.87077,0
212,1.3780032,-28.097656,0
213,11.699422,-39.553524,0
214,-6.402694,-48.171974,0
215,15.188189,-32.13809,0
216,-7.729124,-47.256306,0
217,5.945962,-43.426216,0
218,2.43257,-49.369133,0
219,0.5445293,-40.5237,0
220,11.386345,-39.14615,0
221,-4.9865494,-38.945366,0
222,0.59056133,-41.649014,0
223,-7.8813396,-52.449802,0
224,15.13292,-49.610493,0
225,15.09856,-35.65991,0
226,15.583497,-47.445576,0
227,-9.637347,-46.348495,0
228,14.783807,-47.514786,0
229,-5.4583964,-38.260147,0
230,10.906513,-39.410793,0
231,19.28362,-38.319084,0
232,3.052597,-22.68635,0
233,16.655191,-48.451057,0
234,-4.572858,-38.561993,0
235,0.29098743,-40.103146,0
236,-5.507461,-36.41173,0
237,-7.3739853,-33.05334,0
238,5.8638525,-48.559505,0
239,4.359088,-42.520985,0
240,19.355865,-34.17458,0
241,-7.7589126,-52.35656,0
242,16.520838,-28.720516,0
243,12.488401,-34.777374,0
244,3.6768806,-44.89146,0
245,-6.3523264,-51.640312,0
246,6.4635415,-50.085995,0
247,4.958056,-26.95772,0
248,-7.87648,-51.76916,0
249,17.44021,-39.57204,0
250,9.755948,-47.80709,0
251,7.155492,-50.674885,0
252,5.7269087,-29.163645,0
253,-5.9138193,-52.99636,0
254,21.841366,-35.89786,0
255,6.2955284,-27.721773,0
256,-4.645931,-42.141403,0
257,14.358216,-33.05629,0
258,14.700849,-23.892803,0
259,-4.850627,-30.420328,0
260,4.295961,-50.00294,0
261,-5.143485,-48.9421,0
262,12.562827,-39.605446,0
263,16.056896,-49.76427,0
264,11.764641,-40.6035,0
265,-10.005543,-45.985756,0
266,19.271803,-34.82429,0
267,-6.5893,-47.796185,0
268,14.906163,-26.829897,0
269,13.897352,-26.41877,0
270,15.003718,-24.747717,0
